Accession	Sample Name	SPUID	Organism	Tax ID	Strain	
SAMN19414835	DGRP_Line_100_3wk_F_Rep_1	DGRP_Line_100_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_100	
SAMN19414836	DGRP_Line_100_3wk_F_Rep_2	DGRP_Line_100_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_100	
SAMN19414837	DGRP_Line_100_3wk_M_Rep_1	DGRP_Line_100_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_100	
SAMN19414838	DGRP_Line_100_3wk_M_Rep_2	DGRP_Line_100_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_100	
SAMN19414839	DGRP_Line_101_3wk_F_Rep_1	DGRP_Line_101_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_101	
SAMN19414840	DGRP_Line_101_3wk_F_Rep_2	DGRP_Line_101_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_101	
SAMN19414841	DGRP_Line_101_3wk_M_Rep_1	DGRP_Line_101_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_101	
SAMN19414842	DGRP_Line_101_3wk_M_Rep_2	DGRP_Line_101_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_101	
SAMN19414843	DGRP_Line_109_3wk_F_Rep_1	DGRP_Line_109_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_109	
SAMN19414844	DGRP_Line_109_3wk_F_Rep_2	DGRP_Line_109_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_109	
SAMN19414845	DGRP_Line_109_3wk_M_Rep_1	DGRP_Line_109_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_109	
SAMN19414846	DGRP_Line_109_3wk_M_Rep_2	DGRP_Line_109_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_109	
SAMN19414847	DGRP_Line_129_3wk_F_Rep_1	DGRP_Line_129_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_129	
SAMN19414848	DGRP_Line_129_3wk_F_Rep_2	DGRP_Line_129_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_129	
SAMN19414849	DGRP_Line_129_3wk_M_Rep_1	DGRP_Line_129_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_129	
SAMN19414850	DGRP_Line_129_3wk_M_Rep_2	DGRP_Line_129_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_129	
SAMN19414851	DGRP_Line_136_3wk_F_Rep_1	DGRP_Line_136_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_136	
SAMN19414852	DGRP_Line_136_3wk_F_Rep_2	DGRP_Line_136_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_136	
SAMN19414853	DGRP_Line_136_3wk_M_Rep_1	DGRP_Line_136_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_136	
SAMN19414854	DGRP_Line_136_3wk_M_Rep_2	DGRP_Line_136_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_136	
SAMN19414855	DGRP_Line_138_3wk_F_Rep_1	DGRP_Line_138_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_138	
SAMN19414856	DGRP_Line_138_3wk_F_Rep_2	DGRP_Line_138_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_138	
SAMN19414857	DGRP_Line_138_3wk_M_Rep_1	DGRP_Line_138_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_138	
SAMN19414858	DGRP_Line_138_3wk_M_Rep_2	DGRP_Line_138_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_138	
SAMN19414859	DGRP_Line_142_3wk_F_Rep_1	DGRP_Line_142_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_142	
SAMN19414860	DGRP_Line_142_3wk_F_Rep_2	DGRP_Line_142_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_142	
SAMN19414861	DGRP_Line_142_3wk_M_Rep_1	DGRP_Line_142_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_142	
SAMN19414862	DGRP_Line_142_3wk_M_Rep_2	DGRP_Line_142_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_142	
SAMN19414863	DGRP_Line_149_3wk_F_Rep_1	DGRP_Line_149_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_149	
SAMN19414864	DGRP_Line_149_3wk_F_Rep_2	DGRP_Line_149_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_149	
SAMN19414865	DGRP_Line_149_3wk_M_Rep_1	DGRP_Line_149_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_149	
SAMN19414866	DGRP_Line_149_3wk_M_Rep_2	DGRP_Line_149_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_149	
SAMN19414867	DGRP_Line_153_3wk_F_Rep_1	DGRP_Line_153_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_153	
SAMN19414868	DGRP_Line_153_3wk_F_Rep_2	DGRP_Line_153_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_153	
SAMN19414869	DGRP_Line_153_3wk_M_Rep_1	DGRP_Line_153_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_153	
SAMN19414870	DGRP_Line_153_3wk_M_Rep_2	DGRP_Line_153_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_153	
SAMN19414871	DGRP_Line_158_3wk_F_Rep_2	DGRP_Line_158_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_158	
SAMN19414872	DGRP_Line_158_3wk_M_Rep_1	DGRP_Line_158_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_158	
SAMN19414873	DGRP_Line_158_3wk_M_Rep_2	DGRP_Line_158_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_158	
SAMN19414874	DGRP_Line_161_3wk_F_Rep_1	DGRP_Line_161_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_161	
SAMN19414875	DGRP_Line_161_3wk_F_Rep_2	DGRP_Line_161_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_161	
SAMN19414876	DGRP_Line_161_3wk_M_Rep_1	DGRP_Line_161_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_161	
SAMN19414877	DGRP_Line_161_3wk_M_Rep_2	DGRP_Line_161_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_161	
SAMN19414878	DGRP_Line_176_3wk_F_Rep_1	DGRP_Line_176_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_176	
SAMN19414879	DGRP_Line_176_3wk_F_Rep_2	DGRP_Line_176_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_176	
SAMN19414880	DGRP_Line_176_3wk_M_Rep_1	DGRP_Line_176_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_176	
SAMN19414881	DGRP_Line_176_3wk_M_Rep_2	DGRP_Line_176_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_176	
SAMN19414882	DGRP_Line_177_3wk_F_Rep_1	DGRP_Line_177_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_177	
SAMN19414883	DGRP_Line_177_3wk_F_Rep_2	DGRP_Line_177_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_177	
SAMN19414884	DGRP_Line_177_3wk_M_Rep_1	DGRP_Line_177_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_177	
SAMN19414885	DGRP_Line_177_3wk_M_Rep_2	DGRP_Line_177_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_177	
SAMN19414886	DGRP_Line_181_3wk_F_Rep_1	DGRP_Line_181_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_181	
SAMN19414887	DGRP_Line_181_3wk_F_Rep_2	DGRP_Line_181_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_181	
SAMN19414888	DGRP_Line_181_3wk_M_Rep_1	DGRP_Line_181_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_181	
SAMN19414889	DGRP_Line_181_3wk_M_Rep_2	DGRP_Line_181_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_181	
SAMN19414890	DGRP_Line_189_3wk_F_Rep_1	DGRP_Line_189_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_189	
SAMN19414891	DGRP_Line_189_3wk_F_Rep_2	DGRP_Line_189_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_189	
SAMN19414892	DGRP_Line_189_3wk_M_Rep_1	DGRP_Line_189_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_189	
SAMN19414893	DGRP_Line_189_3wk_M_Rep_2	DGRP_Line_189_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_189	
SAMN19414894	DGRP_Line_195_3wk_F_Rep_1	DGRP_Line_195_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_195	
SAMN19414895	DGRP_Line_195_3wk_F_Rep_2	DGRP_Line_195_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_195	
SAMN19414896	DGRP_Line_195_3wk_M_Rep_1	DGRP_Line_195_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_195	
SAMN19414897	DGRP_Line_195_3wk_M_Rep_2	DGRP_Line_195_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_195	
SAMN19414898	DGRP_Line_208_3wk_F_Rep_1	DGRP_Line_208_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_208	
SAMN19414899	DGRP_Line_208_3wk_F_Rep_2	DGRP_Line_208_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_208	
SAMN19414900	DGRP_Line_208_3wk_M_Rep_1	DGRP_Line_208_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_208	
SAMN19414901	DGRP_Line_208_3wk_M_Rep_2	DGRP_Line_208_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_208	
SAMN19414902	DGRP_Line_217_3wk_F_Rep_1	DGRP_Line_217_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_217	
SAMN19414903	DGRP_Line_217_3wk_F_Rep_2	DGRP_Line_217_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_217	
SAMN19414904	DGRP_Line_217_3wk_M_Rep_1	DGRP_Line_217_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_217	
SAMN19414905	DGRP_Line_217_3wk_M_Rep_2	DGRP_Line_217_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_217	
SAMN19414906	DGRP_Line_21_3wk_F_Rep_1	DGRP_Line_21_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_21	
SAMN19414907	DGRP_Line_21_3wk_F_Rep_2	DGRP_Line_21_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_21	
SAMN19414908	DGRP_Line_21_3wk_M_Rep_1	DGRP_Line_21_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_21	
SAMN19414909	DGRP_Line_21_3wk_M_Rep_2	DGRP_Line_21_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_21	
SAMN19414910	DGRP_Line_223_3wk_F_Rep_1	DGRP_Line_223_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_223	
SAMN19414911	DGRP_Line_223_3wk_F_Rep_2	DGRP_Line_223_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_223	
SAMN19414912	DGRP_Line_223_3wk_M_Rep_1	DGRP_Line_223_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_223	
SAMN19414913	DGRP_Line_223_3wk_M_Rep_2	DGRP_Line_223_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_223	
SAMN19414914	DGRP_Line_227_3wk_F_Rep_1	DGRP_Line_227_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_227	
