93_Female_Rep_1	SAMN09739164
93_Female_Rep_2	SAMN09739163
93_Male_Rep_1	SAMN09739162
93_Male_Rep_2	SAMN09739161
892_Male_Rep_2	SAMN09739160
894_Female_Rep_1	SAMN09739159
894_Female_Rep_2	SAMN09739158
894_Male_Rep_1	SAMN09739157
894_Male_Rep_2	SAMN09739156
897_Female_Rep_1	SAMN09739155
897_Female_Rep_2	SAMN09739154
897_Male_Rep_1	SAMN09739153
897_Male_Rep_2	SAMN09739152
900_Female_Rep_1	SAMN09739151
900_Female_Rep_2	SAMN09739150
900_Male_Rep_1	SAMN09739149
900_Male_Rep_2	SAMN09739148
907_Female_Rep_1	SAMN09739147
907_Female_Rep_2	SAMN09739146
907_Male_Rep_1	SAMN09739145
907_Male_Rep_2	SAMN09739144
908_Female_Rep_1	SAMN09739143
908_Female_Rep_2	SAMN09739142
908_Male_Rep_1	SAMN09739141
908_Male_Rep_2	SAMN09739140
91_Female_Rep_1	SAMN09739139
91_Female_Rep_2	SAMN09739138
91_Male_Rep_1	SAMN09739137
91_Male_Rep_2	SAMN09739136
911_Female_Rep_1	SAMN09739135
911_Female_Rep_2	SAMN09739134
911_Male_Rep_1	SAMN09739133
911_Male_Rep_2	SAMN09739132
913_Female_Rep_1	SAMN09739131
913_Female_Rep_2	SAMN09739130
913_Male_Rep_1	SAMN09739129
913_Male_Rep_2	SAMN09739128
796_Male_Rep_2	SAMN09739127
799_Female_Rep_1	SAMN09739126
799_Female_Rep_2	SAMN09739125
799_Male_Rep_1	SAMN09739124
799_Male_Rep_2	SAMN09739123
801_Female_Rep_1	SAMN09739122
801_Female_Rep_2	SAMN09739121
801_Male_Rep_1	SAMN09739120
801_Male_Rep_2	SAMN09739119
802_Female_Rep_1	SAMN09739118
861_Male_Rep_2	SAMN09739117
88_Female_Rep_1	SAMN09739116
88_Female_Rep_2	SAMN09739115
88_Male_Rep_1	SAMN09739114
88_Male_Rep_2	SAMN09739113
882_Female_Rep_1	SAMN09739112
882_Male_Rep_1	SAMN09739111
882_Male_Rep_2	SAMN09739110
884_Female_Rep_1	SAMN09739109
884_Female_Rep_2	SAMN09739108
884_Male_Rep_1	SAMN09739107
884_Male_Rep_2	SAMN09739106
882_Female_Rep_2	SAMN09739105
890_Female_Rep_1	SAMN09739104
890_Female_Rep_2	SAMN09739103
890_Male_Rep_1	SAMN09739102
890_Male_Rep_2	SAMN09739101
892_Female_Rep_1	SAMN09739100
892_Female_Rep_2	SAMN09739099
892_Male_Rep_1	SAMN09739098
765_Male_Rep_1	SAMN09739097
765_Male_Rep_2	SAMN09739096
774_Female_Rep_1	SAMN09739095
774_Female_Rep_2	SAMN09739094
774_Male_Rep_1	SAMN09739093
774_Male_Rep_2	SAMN09739092
776_Female_Rep_1	SAMN09739091
776_Female_Rep_2	SAMN09739090
776_Male_Rep_1	SAMN09739089
776_Male_Rep_2	SAMN09739088
